LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,Cat1_AEP,Cat2_AEP,Cat3_AEP,Cat4_AEP,Cat5_AEP,bathymetry_class
-176.25,-46.75,554,1,86.740593,3.0033169,1.1518047,0.049405,0.0323604,,,-100
-176.25,-46.25,554,1,79.9349442,3.1787813,1.2458639,0.0426167,0.0306607,0.0160594,,-100
-176.25,-45.75,554,1,79.9349442,3.352283,1.4181105,0.0407548,0.0275106,0.0173322,,-100
-176.25,-45.25,554,1,83.5582428,3.6934083,1.4740264,0.0407189,0.0286053,0.0182995,,-100
-176.25,-44.75,554,1,83.5582428,3.9974651,1.5001299,0.0504509,0.0290609,0.0191968,,-100
-176.25,-44.25,554,1,83.4140244,3.9289043,1.4423504,0.0627165,0.0278872,0.0194609,,5
-176.25,-43.75,554,1,83.4140244,4.0778685,1.4659939,0.0332353,0.0284372,0.0204233,,-100
-176.25,-43.25,554,1,79.7761307,4.1763339,1.5744407,0.0394439,0.0271842,0.018769,,-100
-176.25,-42.75,554,1,79.7761307,4.3054657,1.5473218,0.039075,0.0220552,0.0180839,0.0120496,-100
-176.25,-42.25,554,1,82.823143,4.5537105,1.5489674,0.0436106,0.0139599,,,-100
-176.25,48.25,959,1,117.4703903,1.5337176,0.9388214,0.1639045,0.0296589,0.0171476,,-100
-176.25,48.75,959,1,113.6128769,1.4841989,0.9006636,0.1584111,0.0250887,0.0160544,,-100
-176.25,50.25,959,1,110.3660889,1.400493,0.7644828,0.1228973,0.0279055,0.0129095,,-100
-176.25,50.75,959,1,111.0985565,1.4464592,0.8300967,0.1139328,0.0237375,0.0160772,,-100
-176.25,51.25,959,1,111.0985565,1.4099756,0.7609847,0.1116792,0.0270838,0.0137341,,-100
-176.25,52.25,959,1,108.591095,1.2707565,0.7124153,0.1077624,0.019272,,,-100
-176.25,52.75,959,1,106.1105576,1.2623508,0.7286294,0.1080325,0.0179489,,,-100
-176.25,54.25,959,1,107.4475708,1.2813514,0.6292292,0.0782268,0.0210697,0.0142316,,-100
-176.25,54.75,959,1,108.5188141,1.2472017,0.6738268,0.0954508,0.0171616,,,-100
-176.25,55.25,959,1,108.5188141,1.1933759,0.6575308,0.0980948,0.0166075,,,-100
-176.25,55.75,959,1,109.3904953,1.1344237,0.6627792,0.0841933,0.0159941,,,-100
-176.25,56.25,959,1,109.3904953,1.0917522,0.6159766,0.0733497,0.0148091,,,-100
-176.25,56.75,959,1,110.0844574,1.042892,0.5419056,0.0595748,0.0153067,,,-100
-176.25,60.25,649,1,119.2833862,,,,,,,-100
-176.25,60.75,649,1,,,,,,,,-100
-176.25,61.25,649,1,,,,,,,,-100
-176.25,61.75,649,1,,,,,,,,-50
-176.25,62.25,649,1,,,,,,,,-50
-176.25,62.75,649,1,,,,,,,,-50
-176.25,63.25,649,1,,,,,,,,-50
-176.25,63.75,649,1,,,,,,,,-50
-176.25,64.25,649,1,,,,,,,,-50
-176.25,64.75,649,1,,,,,,,,-20
-176.25,65.25,649,1,,,,,,,,5
-176.25,68.25,913,1,,,,,,,,-30
-176.25,68.75,913,1,,,,,,,,-30
-176.25,69.25,913,1,,,,,,,,-50
-176.25,69.75,913,1,,,,,,,,-50
-175.75,-48.25,554,1,83.9311829,2.4664288,1.034348,0.0257488,0.0273423,,,-100
-175.75,-47.75,554,1,90.6561432,2.6189628,1.0472817,0.0403161,0.0268014,,,-100
-175.75,-47.25,554,1,80.2686996,2.8571289,1.1150419,0.0405506,0.0289451,,,-100
-175.75,-46.75,554,1,86.740593,3.1619802,1.2630562,0.0558275,0.0304001,,,-100
-175.75,-46.25,554,1,80.7741165,3.2209508,1.2325951,0.0579258,0.02977,0.0162151,,-100
-175.75,-45.75,554,1,79.9349442,3.5499375,1.3620121,0.0494209,0.026297,0.0173035,,-100
-175.75,-45.25,554,1,84.4617004,3.9284821,1.4305614,0.0422008,0.0281798,0.0179523,,-100
-175.75,-44.75,554,1,83.5582428,3.9623339,1.4541143,0.034643,0.0281874,0.0185619,,-30
-175.75,-44.25,554,1,82.7890167,4.0194111,1.4684678,0.0459731,0.027733,0.0191452,,-100
-175.75,-43.75,554,1,83.4140244,4.2545581,1.5700543,0.053253,0.0277366,0.0191418,,-100
-175.75,-43.25,554,1,80.5069122,4.3564186,1.554728,0.0401961,0.0271119,0.0218706,0.0126272,-100
-175.75,-42.75,554,1,79.7761307,4.6522059,1.5634074,0.0411376,0.0220276,0.0178215,0.0124187,-100
-175.75,-42.25,554,1,82.4544067,4.7333403,1.6503235,0.0494934,0.0157972,,,-100
-175.75,48.25,959,1,117.4703903,1.6748328,0.9540636,0.1839986,0.030421,0.0184655,,-100
-175.75,48.75,959,1,113.4954529,1.6040312,0.9174998,0.1573414,0.0261591,0.0156082,,-100
