LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-176.25,60.25,649,1,119.2833862,NA,-100,2,8.47075381
-175.75,-48.25,554,1,83.9311829,2.4664288,-100,3,6.855004806
-175.75,-47.75,554,1,90.6561432,2.6189628,-100,3,7.366607167
-175.75,-47.25,554,1,80.2686996,2.8571289,-100,3,6.631333242
-175.75,-46.75,554,1,86.740593,3.1619802,-100,3,7.254153508
-175.75,-46.25,554,1,80.7741165,3.2209508,-100,3,6.826582452
-175.75,-45.75,554,1,79.9349442,3.5499375,-100,3,6.812989153
-175.75,-45.25,554,1,84.4617004,3.9284821,-100,3,7.247974736
-175.75,-44.75,554,1,83.5582428,3.9623339,-30,3,9.107785253
-175.75,-44.25,554,1,82.7890167,4.0194111,-100,3,7.129342304
-175.75,-43.75,554,1,83.4140244,4.2545581,-100,3,7.207194837
-175.75,-43.25,554,1,80.5069122,4.3564186,-100,3,7.008238363
-175.75,-42.75,554,1,79.7761307,4.6522059,-100,3,6.977344501
-175.75,-42.25,554,1,82.4544067,4.7333403,-100,3,7.181243993
-175.75,48.25,959,1,117.4703903,1.6748328,-100,3,8.287244267
-175.75,48.75,959,1,113.4954529,1.6040312,-100,3,8.027735823
-175.75,50.25,959,1,110.3660889,1.466108,-100,3,7.701496636
-175.75,50.75,959,1,109.2391663,1.5785296,-100,3,7.754634079
-175.75,51.25,959,1,111.0985565,1.5596874,-100,3,7.820129068
-175.75,52.75,959,1,107.4093628,1.3964117,-100,3,7.502540162
-175.75,54.25,959,1,107.4475708,1.3986336,-100,3,7.512426198
-175.75,54.75,959,1,110.8600235,1.3810328,-100,3,7.638473157
-175.75,55.25,959,1,108.5188141,1.314849,-100,3,7.455581491
-175.75,55.75,959,1,111.2559509,1.2545691,-100,3,7.485239599
-175.75,56.25,959,1,109.3904953,1.2474079,-100,3,7.390086503
-175.75,56.75,959,1,112.3603134,1.2685332,-100,3,7.535905533
-175.75,60.25,649,1,121.3676453,NA,-100,2,8.512769463
-175.25,-47.75,554,1,83.9311829,2.7406352,-100,3,6.939036111
-175.25,-47.25,554,1,80.2686996,2.9937725,-100,3,6.662227104
-175.25,-46.75,554,1,80.2686996,3.2361825,-100,3,6.766030482
-175.25,-46.25,554,1,80.7741165,3.3734679,-100,3,6.863655087
-175.25,-45.75,554,1,80.7741165,3.7875936,-100,3,6.95510092
-175.25,-45.25,554,1,84.4617004,3.9330192,-100,3,7.255389263
-175.25,-44.75,554,1,84.4617004,3.9901123,-100,3,7.260332281
-175.25,-44.25,554,1,82.7890167,4.0782547,-100,3,7.137992585
-175.25,-43.75,554,1,82.7890167,4.3651266,-100,3,7.168886448
-175.25,-43.25,554,1,80.5069122,4.5033641,-100,3,7.019360154
-175.25,-42.75,554,1,80.5069122,4.7132549,-100,3,7.030481944
-175.25,-42.25,554,1,82.4544067,4.7901282,-100,3,7.184951256
-175.25,48.25,959,1,117.6861343,1.70523,-100,3,8.340381711
-175.25,48.75,959,1,113.4954529,1.686165,-100,3,8.141425237
-175.25,49.25,959,1,113.4954529,1.6235318,-100,3,8.052450913
-175.25,49.75,959,1,110.2789688,1.5647044,-100,3,7.795413978
-175.25,50.25,959,1,110.2789688,1.6147697,-100,3,7.843608403
-175.25,50.75,959,1,109.2391663,1.6929226,-100,3,7.884388302
-175.25,51.25,959,1,109.2391663,1.6473862,-100,3,7.817657559
-175.25,54.25,959,1,109.2809296,1.5359111,-100,3,7.72744748
-175.25,54.75,959,1,110.8600235,1.4511323,-100,3,7.700260882
-175.25,55.25,959,1,110.8600235,1.4362922,-100,3,7.685431828
-175.25,55.75,959,1,111.2559509,1.4405446,-100,3,7.706439654
-175.25,60.25,649,1,121.3676453,NA,-100,2,8.512769463
-174.75,-47.75,554,1,83.9311829,2.8209794,-100,3,6.97981601
-174.75,-47.25,554,1,74.4280853,3.012748,-100,3,6.247013593
-174.75,-46.75,554,1,80.2686996,3.2951031,-100,3,6.799395853
-174.75,-46.25,554,1,79.8752441,3.5059512,-100,3,6.788274063
-174.75,-45.75,554,1,80.7741165,3.676147,-100,3,6.922971303
-174.75,-45.25,554,1,84.3882599,4.0712638,-100,3,7.272689826
-174.75,-44.75,554,1,84.4617004,4.1201835,-100,3,7.281340107
-174.75,-44.25,554,1,81.7204514,4.2285705,-100,3,7.087326651
-174.75,-43.75,554,1,82.7890167,4.4180937,-100,3,7.176300975
-174.75,-43.25,554,1,80.5681686,4.6891193,-100,3,7.037896471
-174.75,-42.75,554,1,80.5069122,4.7808838,-100,3,7.041603735
-174.75,-42.25,554,1,81.39888,4.8415842,-100,3,7.131813813
-174.75,48.75,959,1,113.3371582,1.7816609,-100,3,8.27982974
-174.75,49.25,959,1,113.4954529,1.724277,-100,3,8.192091171
-174.75,49.75,959,1,109.9298325,1.6723987,-100,3,7.899217355
-174.75,50.25,959,1,110.2789688,1.6721554,-100,3,7.912810655
-174.75,50.75,959,1,107.8585892,1.7826769,-100,3,7.968419607
-174.75,51.25,959,1,109.2391663,1.7126487,-100,3,7.9251682
-174.75,51.75,959,1,110.8452682,1.6353593,-100,3,7.897981601
-174.75,54.25,959,1,109.2809296,1.6484058,-100,3,7.825072086
-174.75,54.75,959,1,112.9516373,1.5442485,-100,3,7.904160373
-174.75,55.25,959,1,110.8600235,1.5642266,-100,3,7.812714541
-174.75,55.75,959,1,112.9261703,1.5453477,-100,3,7.902924619
-174.75,60.25,959,1,124.6415634,NA,-50,2,9.897432377
