Unit_ID,Unit_Name,Country_Area,Status,Production_start_year,Operator,Latitude,Longitude,Cat_3,Bathymetry_class,RiskScore
OG0020064,Gudrid,Canada,discovered,NA,ConocoPhillips,54.920722,-55.881195,0.0119459,-100,1
OG0020065,Bjarni,Canada,discovered,NA,ConocoPhillips,55.525103,-57.695845,0.0181182,-100,1.392857143
OG0000627,Beckett,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.823,-11.836,0.0186913,-100,1.435714286
OG0000628,Corrib,Ireland,operating,2015,Vermilion Exploration and Production Ireland Limited (VEPIL),54.329,-11.063,0.0204715,-100,1.6
OG0000631,Edgeworth,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.804,-11.572,0.0159322,-100,1.25
OG0000632,Ervine,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.804,-11.572,0.0159322,-100,1.25
OG0000635,Inishkea,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.804,-11.572,0.0159322,-100,1.25
OG0000636,Kiely East,Ireland,discovered,NA,Europa Oil & Gas Ltd,51.497,-13.141,0.0169176,-100,1.321428571
OG0000637,Kiely West,Ireland,discovered,NA,Europa Oil & Gas Ltd,51.497,-13.141,0.0169176,-100,1.321428571
OG0000639,PR3,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.804,-11.572,0.0159322,-100,1.25
OG0000641,Shaw,Ireland,discovered,NA,Europa Oil & Gas Ltd,50.823,-11.836,0.0186913,-100,1.435714286
OG0000644,The Edge,Ireland,discovered,NA,Europa Oil & Gas Ltd,54.328942,-10.808121,0.0234741,-100,1.985714286
OG0019004,Inishkea West,Ireland,discovered,2026 (expected),Europa Oil & Gas Ltd,54.127066,-11.414395,0.0291544,-100,2.285714286
OG0000626,Barryroe,Ireland,discovered,NA,Exola,51.226,-8.24,0.0175563,-50,2.714285714
OG0012453,Odoptu (Northern Dome),Russia,operating,1998,Sakhalin-1 LLC,53.371389,143.166944,0.0175894,-20,4.3
OG0018594,Odoptu (Central and Southern Domes),Russia,operating,2010,Sakhalin-1 LLC,53.25,143.316667,0.0176913,-20,4.364285714
